username,comment,date,platform
5 tahun yang lalu,Bang kapan main Minecraft parkornya,@marcellinorf7774,youtube
6 tahun yang lalu,Aku aja di gramedia pernah beli permen 5 toples,@dweicentounos,youtube
3 tahun yang lalu,Semua nya jaman dulu,@RaizelPlayzz,youtube
5 tahun yang lalu,Bang lucu banget masa gramedia jualan coklat  tapi kalau di pikir pikir  boleh juga,@dewintaminasari6082,youtube
6 tahun yang lalu,Enak bang...pasti enak,@fifinyuliah6170,youtube
6 tahun yang lalu,Bang  punya  chenel 2 ya (Neru Neruson)????,@muhammadlutfi6689,youtube
6 tahun yang lalu,"Ada Suara Wanita Yang Bilang Oh No Yang Berati BeaconCream Gak Jomblo 
2
  0
    1
       9
?????????",@FelixRaymond.,youtube
6 tahun yang lalu,bang di transmart ada gk,@gilbertulag4935,youtube
5 tahun yang lalu,Katanya jomblo tapi kok ada suara cewek,@sabrinaxatesa,youtube
5 tahun yang lalu,"baru sampay sekarang masih belom 
dapat jodoh wkkwkwkwk",@warlianyhamid6306,youtube
5 tahun yang lalu,Bang itu banyak banget dijual di garut pas arah nagreg,@tukijo1732,youtube
5 tahun yang lalu,bang itu siapa yang ngamerain mana suaranya cewek,@nonaceriwis9282,youtube
5 tahun yang lalu,Bang itu siapa yang megang kameranya,@mr.elvand5507,youtube
6 tahun yang lalu,Di gramedia ku ada makanan makanan di kasirnya,@unmarkedgt8861,youtube
5 tahun yang lalu,Bang abang tahu gak itu coklat buatan om saya tahu bang :) kadang kadang kalo lebaran ke kampung sering di kasih bang :),@starlight2787,youtube
4 tahun yang lalu,Ini dibuat dari 2017.... Dan sekarang 2020 Nelson masih jomblo..... :V,@papiruu2481,youtube
4 tahun yang lalu,Bang bikin pidio yang painng seru lagiya,@yuja_channel,youtube
5 tahun yang lalu,Di neruneruson dong hrsnya.,@bambangparto301,youtube
6 tahun yang lalu,Coklat anti jomblo,@azkanugraha40211,youtube
6 tahun yang lalu,"Kak nelson yg pegang cameranya itu siapa?




Harus jawab!",@cacaaa6726,youtube
6 tahun yang lalu,Bang mainin sonik ekse,@rucanputra8137,youtube
5 tahun yang lalu,Jadi ngiler,@jonathancornellius9388,youtube
6 tahun yang lalu,bang lu belinya di gramedia BEC bukan sih soalnya disana ada,@josuaaritonang1220,youtube
6 tahun yang lalu,Gramedia yang dimana bang?,@alissaaaa4,youtube
5 tahun yang lalu,Bang yang pegang kamera siapa???,@m.fadillah6892,youtube
5 tahun yang lalu,Kakak ke papbrik chocodotya sama aku juga pernah kesana beli boneka nya,@avril3571,youtube
6 tahun yang lalu,Bikin draw my life dong kakk,@brocoligamer8233,youtube
5 tahun yang lalu,Bang beacon beli semua coklat itu dimana,@bacongaming6714,youtube
6 tahun yang lalu,Anti galau banget ya kak,@thaaarachive,youtube
5 tahun yang lalu,Kaka beacon cream yuk main roblox saber simulator lagi,@LukmanHakim-me4fq,youtube
1 tahun yang lalu,Apakah ini fosil,@mandm-x3b,youtube
5 tahun yang lalu,Gw pas banget nontonya di malam minggu,@xmb_5718,youtube
5 tahun yang lalu,Itu yang Kameramen dan pas lagi pas lagi Abang lagi makan coklat itu capek nggak marah itu jodoh adng,@dei537,youtube
5 tahun yang lalu,Muka kak beaconcream mirip banget sama kak nelson di cenel Neruneruson yang sudah tau di like   ya,@Tavvv33,youtube
3 tahun yang lalu,Bang coba abang main dengan hayo_go dan bang cupu official mereka youtuber,@fxartistofficial5155,youtube
4 tahun yang lalu,Sedih amat ya beaconcream  makan coklat sendiri main game sendiri tidur sendiri mukbang sendiri makan sendiri kasian sih tapi jangan menyerah bang Nelson,@wibusetengah1513,youtube
4 tahun yang lalu,Akhirnya jojoba kembali :v,@aiman7259,youtube
3 tahun yang lalu,Nostalgia,@Ampl1fic4tion,youtube
5 tahun yang lalu,hahaha,@rina.w6634,youtube
6 tahun yang lalu,Bang itu yang ngerekam nya siapa,@narindraialhakiim3951,youtube
6 tahun yang lalu,Bang abang ama siapa,@adeibrahim9291,youtube
6 tahun yang lalu,bang bagusan yang mana  atau,@temptemp8957,youtube
6 tahun yang lalu,Bang kameramen abang cewe ya bang,@dheyunengsih6910,youtube
6 tahun yang lalu,jadi laperrr deh,@nafsiyahhj1478,youtube
5 tahun yang lalu,Bang kamen ramenya mutia ya,@azrielgeming0259,youtube
5 tahun yang lalu,Bang nelson pernah dekat channel NeruNeruson,@NeonWhitty,youtube
4 tahun yang lalu,Aku nonton ini sambil makan kurma coklat,@Hann_sfp,youtube
5 tahun yang lalu,Itu makanan dari kampung gw di garut itu makanan favorit ge,@aqillarinualdychandra5152,youtube
6 tahun yang lalu,Wah cokelat nya kayak nya enak,@saikikusuonownan677,youtube
5 tahun yang lalu,"Pas Kakaknya/Saudaranya/Apalah Bodo amat :v ngomong ""jatuh jatuh Gaes"" kayak suara Muthia Savira Wkwk :v",@helloeveribady6019,youtube
5 tahun yang lalu,"Bang nel aku juga pernah makan chokodot enaknya minta ampun, tapi belinya di kampung",@googleyoutube7042,youtube
6 tahun yang lalu,Assalamualaikum bang beacon,@bayuzahranarrabi4601,youtube
6 tahun yang lalu,Kak main meepcity dong,@andibalquesrasty3515,youtube
6 tahun yang lalu,Ada yang nemenin ya soal nya ada suara cewek dari kameramen ci yyyeeeeeeyy,@afrartofficial4178,youtube
6 tahun yang lalu,Nguyah Mulu engak cape apa,@reisyaziami3320,youtube
6 tahun yang lalu,Gua punyanya coklat tolak miskin,@karasunov8671,youtube
5 tahun yang lalu,Nolson sudah punya pacar apa belomya?,@krisnadharma5502,youtube
5 tahun yang lalu (diedit),2 hari setelah kelahiranku hari valentine :),@riobirhamulloh425,youtube
5 tahun yang lalu,Bagus bang,@1kzggamer257,youtube
6 tahun yang lalu,Bang beacon tinggal di mana,@bayolubis1125,youtube
6 tahun yang lalu,Beacon cream punya pacar yg rakam itu kan cw,@khalidpidani3737,youtube
5 tahun yang lalu,Buat hidio cokelat lagi ok,@WahyudiYudi-kz7lh,youtube
5 tahun yang lalu,2020?,@spongebobgaming9887,youtube
6 tahun yang lalu,"Abang yg megang kamera siapa ,pacar Abang kah?",@dimasdarmawan5242,youtube
5 tahun yang lalu,"-_-aku juga suka 
Coklat dan juga suka aetoberi",@nijamgemink6095,youtube
4 tahun yang lalu,jangan lupa sikat gigi kalau suda makan kak nelson,@ratripatresia0989,youtube
5 tahun yang lalu,"Bang, cari pacar sono.. jangan rebahan melulu >:v udh 2020 nih.. :vv",@ishakeinik,youtube
6 tahun yang lalu,Sama muthia savira ya makan coklatnya,@timmyyt6901,youtube
5 tahun yang lalu,2020 siapa,@yusufpombatu6154,youtube
6 tahun yang lalu,Kakak udh manis ngapain makan yg manis manis lagiii,@AydiwScortovio,youtube
6 tahun yang lalu,"Di menit  itu pacar mu ya bang becon , oiya bang tetap semangat bikin Vidio nya ya bang saya selalu like Vidio Abang (kolo sempat ditonton :v) yg penting saya dukung Abang terus supaya subscribe nya banyak 

 CREAM (I LOVE YOU ) (No GAY :V)

TAMBAHAN



ASLI DAH AKU BANYAK BACOT DEH KAYA ORANG CERAMAH :V",@ryantwg5021,youtube
5 tahun yang lalu,Bikenkerim siapa yang rekam fidio abang,@ovlykadir6797,youtube
5 tahun yang lalu,Kenape enga di nero n,@haianboxing7200,youtube
5 tahun yang lalu,Kak aku mau nanya siapa yang merekam kakak ya?,@ramliramli2651,youtube
6 tahun yang lalu,Bang nelson ada suara cewek dia yang megang kamera nya ya dia adek atau kakak,@vionacakep9164,youtube
5 tahun yang lalu,Kak beli dimana coklatnya,@zhabrinah0341,youtube
5 tahun yang lalu,Kok ada yng tawar? Brarti sayang donk duitnya :v,@dianwahyudi1303,youtube
5 tahun yang lalu,beli coklat nya dimana,@semiajigunawan126,youtube
5 tahun yang lalu,Hmmm aku masa depan ya 2020 nonton nya,@nyehmnyehy611,youtube
5 tahun yang lalu,cie bang nelson punya pacar,@febriandaalexa1333,youtube
5 tahun yang lalu,Yang ngerekam tu kk abang ya??aww so sweet,@shalimmuarif4596,youtube
6 tahun yang lalu,Coklat tawar itu pengaruh dari gk ada jodoh,@kontoruchannel8745,youtube
6 tahun yang lalu,Cokelatnya enak tuh,@fatmachannel-3062,youtube
6 tahun yang lalu,Itu sore bang ne ls on,@onefaceyourbae9549,youtube
6 tahun yang lalu,Kak itu mah Cokodot:coklat dodol. Itu coklat asli garut. Aku suka beli yang rasa sayange. Hehe,@yuna-nfh8,youtube
6 tahun yang lalu,Itu pacar abang yang Bawa camera,@spyx7814,youtube
6 tahun yang lalu,"Kak nelson kalau di garit itu harga persatunya itu 35k,,,,,,salam orng garut.....",@mamahdiva4297,youtube
6 tahun yang lalu,Ih mau Dong coklat nya,@yunipassolle8348,youtube
6 tahun yang lalu,Jomblo setia deh wkwkwkwk,@Yes-mf8kr,youtube
5 tahun yang lalu,Bang nelso yang ngevidio siapa sih kok kayak suara cewek,@mrantz4756,youtube
5 tahun yang lalu,Ngebucin bang Nelson,@mhmmdbianda,youtube
6 tahun yang lalu,Kak semoga cintanya tercapai,@nyomanmaharini6239,youtube
5 tahun yang lalu,"Beaconcreamr
Kayra",@syalqiaarief8307,youtube
5 tahun yang lalu,KEK BANGUN TIDUR NJIRR :D,@egelagang,youtube
5 tahun yang lalu,Bang rebahan main roblox plss,@vidhelio,youtube
