username,comment,date,platform
taturhmh,mamih iraha ka garut eh teu bebeja,5/26/2024,tiktok
AmmiAL,outfitnya ga pernah gagal mami luv 💕,6/28/2024,tiktok
amora,mami hunny umurnya berapa masih canti,6/4/2024,tiktok
jesijesjes ✨✨,mamih aku orang garut 😁,5/26/2024,tiktok
KaudytaNAZ,ari chocodot aslina sbrha,5/26/2024,tiktok
TutiSaripah10,Kabita tiungna...,6/7/2024,tiktok
teh Ita,syantiikkk banget mamiiihh 🥰🥰🥰,5/25/2024,tiktok
Neneng Risnawati,ih mamih tadi aku ke garut,5/25/2024,tiktok
🎀,aku juga dari garut🤩🤩,6/13/2024,tiktok
Ucritlundon Nakkmino,mamih iraha eh k grt eta,5/26/2024,tiktok
psycholog,siang mom,5/27/2024,tiktok
Desiayuamanda 🦩,"mihhhh gemessssh amat , matching bajunya 😍😍😍😍 edyan syiah bestieeee 💗💗💗💗",5/25/2024,tiktok
