style-scope_src,yt-simple-endpoint_href,style-scope,yt-simple-endpoint,yt-simple-endpoint_href_2,yt-core-attributed-string,ytcoreimagehost_src,style-scope_2,style-scope_3
,https://www.youtube.com/@SimpleHomeCooking8,@SimpleHomeCooking8,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzPQqQGMTHH2pVefq94AaABAg,Terngiler banget,,,
,https://www.youtube.com/@ashri_annisa,@ashri_annisa,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxhFOaqcdbhh16mML14AaABAg&pp=0gcJCSMANpG00pGi,Ngeunah pisanteh,,,Terjemahkan ke bahasa Indonesia
,https://www.youtube.com/@NiluhnyomanMirantiini,@NiluhnyomanMirantiini,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugy7cBe7NWF5bRo_jFt4AaABAg,Teh coba makana sunda digarut jalan pasar darekdok  ada rumah makan sunda,,,
,https://www.youtube.com/@mamahIzul-hm3mh,@mamahIzul-hm3mh,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyLQtLnUBaCZmVq6Op4AaABAg,Enak banget ya de pokokny nikmat.,,,
,https://www.youtube.com/@Saklek7,@Saklek7,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugyv7FvQHKRZP1e5tE54AaABAg,Teteh lokasinya jangan lupa selalu ditulis,,,
https://yt3.ggpht.com/2a_wjWqmvXK7ydfSDtAVISYha5GIkKtHABpH1dZY6XS9PtuNF1uHY5EEiq9rzTuk4cjB4Xi6lA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rakhmirakhmanissaofficial,@rakhmirakhmanissaofficial,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugy8R_uKEOC4BQCdVNl4AaABAg,Kabitaaaa alahh,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f924.png,,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_lobEygh6O_Bjl7h7mr4MTRESHAyLTBfmIrqCBX7xUBostd5FaRyhFqYGRxUGQnwchWjQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@TasyaFadilah-r5w,@TasyaFadilah-r5w,3 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgwaQnX7M_vntJKIqEx4AaABAg,"KA teh shanty Weh di enak"" na th",https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f923.png,,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_k2Z6xibrg89ceTOo7QwIhmWgTtrF_4kXgPI5mFtPQPS_pSZElk3qsj1WdP_NCQ-9WqQw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@BilqisSalsabila-s9d,@BilqisSalsabila-s9d,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgyHw-ghW5HK5L7Lnat4AaABAg,Teh santi maaaf mau ksh saran. Klo bs klo makan pas masukin makananya sendoknya klo bs jgn bunyi hehehe,,,
https://yt3.ggpht.com/0_dLPaR9kFpYv-jpo0OfADO4B3S32hLVQ1I2iFm0a6GN8kl_QP_VMi2mMbmLCSeOZkdWCzhX=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ZULMUALYM,@ZULMUALYM,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=Ugyf4kSubl0wxvJLyYd4AaABAg,Bakso jeung bakso we hayuuu  hati2 teh bisa kangker,,,Terjemahkan ke bahasa Indonesia
https://yt3.ggpht.com/ytc/AIdro_mQPSrH_ciG7qqWxXbvLdt-yOWg8iIxIJ94kZavog4xQVh7F-Pwyaiwm5oLdrxwNC7pVw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@NellySimanjuntak-d3f,@NellySimanjuntak-d3f,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgylfV-2ghrk4hjoaZJ4AaABAg,Mantap bunda bakso nya,,,
https://yt3.ggpht.com/TGfbGm8BHyD0H3s4uxNprjFUyQybyQ8I_DcGYRA9dNODjeEectudNof_aO3w2FNsVf68UbjJnQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@SimpleHomeCooking8,@SimpleHomeCooking8,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgzPQqQGMTHH2pVefq94AaABAg,Terngiler banget,https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f389.png,,
https://yt3.ggpht.com/ytc/AIdro_kv5begwn_MNBAu3IA7dSnbiMgoGIAx1Nge2JCQYJsiuzdYEGT0WGfzy80LaboMK3fBRQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ashri_annisa,@ashri_annisa,4 bulan yang lalu,https://www.youtube.com/watch?v=-v9S1ru61-M&lc=UgxhFOaqcdbhh16mML14AaABAg&pp=0gcJCSMANpG00pGi,Ngeunah pisanteh,,,Terjemahkan ke bahasa Indonesia
